Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;
84;Auvergne-Rhône-Alpes;01;4;10;112;Condamine;414;37;451;
84;Auvergne-Rhône-Alpes;01;2;08;113;Condeissiat;825;7;832;
84;Auvergne-Rhône-Alpes;01;4;03;114;Confort;620;11;631;
84;Auvergne-Rhône-Alpes;01;2;02;115;Confrançon;1 331;29;1 360;
84;Auvergne-Rhône-Alpes;01;1;04;116;Contrevoz;500;15;515;
84;Auvergne-Rhône-Alpes;01;1;04;117;Conzieu;146;8;154;
84;Auvergne-Rhône-Alpes;01;1;10;118;Corbonod;1 255;35;1 290;
84;Auvergne-Rhône-Alpes;01;1;10;121;Corlier;113;1;114;
84;Auvergne-Rhône-Alpes;01;1;10;122;Cormaranche-en-Bugey;814;65;879;
84;Auvergne-Rhône-Alpes;01;2;23;123;Cormoranche-sur-Saône;1 118;35;1 153;
84;Auvergne-Rhône-Alpes;01;2;18;124;Cormoz;662;15;677;
84;Auvergne-Rhône-Alpes;01;2;18;125;Corveissiat;625;11;636;
84;Auvergne-Rhône-Alpes;01;2;18;127;Courmangoux;505;9;514;
84;Auvergne-Rhône-Alpes;01;2;17;128;Courtes;310;2;312;
84;Auvergne-Rhône-Alpes;01;2;07;129;Crans;263;4;267;
84;Auvergne-Rhône-Alpes;01;2;02;130;Cras-sur-Reyssouze;1 448;24;1 472;
84;Auvergne-Rhône-Alpes;01;1;04;133;Cressin-Rochefort;393;11;404;
84;Auvergne-Rhône-Alpes;01;2;23;134;Crottet;1 734;50;1 784;
84;Auvergne-Rhône-Alpes;01;3;20;135;Crozet;2 126;67;2 193;
84;Auvergne-Rhône-Alpes;01;2;23;136;Cruzilles-lès-Mépillat;855;25;880;
84;Auvergne-Rhône-Alpes;01;1;10;138;Culoz;3 053;56;3 109;
84;Auvergne-Rhône-Alpes;01;2;17;139;Curciat-Dongalon;443;5;448;
84;Auvergne-Rhône-Alpes;01;2;02;140;Curtafond;770;18;788;
84;Auvergne-Rhône-Alpes;01;1;04;141;Cuzieu;436;13;449;
84;Auvergne-Rhône-Alpes;01;2;12;142;Dagneux;4 706;62;4 768;
84;Auvergne-Rhône-Alpes;01;3;09;143;Divonne-les-Bains;9 465;227;9 692;
84;Auvergne-Rhône-Alpes;01;2;08;146;Dompierre-sur-Chalaronne;431;10;441;
84;Auvergne-Rhône-Alpes;01;2;07;145;Dompierre-sur-Veyle;1 164;21;1 185;
84;Auvergne-Rhône-Alpes;01;2;18;147;Domsure;483;5;488;
84;Auvergne-Rhône-Alpes;01;4;16;148;Dortan;1 846;44;1 890;
84;Auvergne-Rhône-Alpes;01;1;01;149;Douvres;1 053;25;1 078;
84;Auvergne-Rhône-Alpes;01;2;18;150;Drom;217;5;222;
84;Auvergne-Rhône-Alpes;01;2;07;151;Druillat;1 157;18;1 175;
84;Auvergne-Rhône-Alpes;01;4;14;152;Échallon;760;20;780;
84;Auvergne-Rhône-Alpes;01;3;20;153;Échenevex;2 172;75;2 247;
84;Auvergne-Rhône-Alpes;01;2;02;154;Étrez;815;20;835;
84;Auvergne-Rhône-Alpes;01;1;10;155;Évosges;145;3;148;
84;Auvergne-Rhône-Alpes;01;1;12;156;Faramans;801;12;813;
84;Auvergne-Rhône-Alpes;01;2;22;157;Fareins;2 203;50;2 253;
84;Auvergne-Rhône-Alpes;01;3;20;158;Farges;1 013;15;1 028;
84;Auvergne-Rhône-Alpes;01;2;17;159;Feillens;3 254;118;3 372;
84;Auvergne-Rhône-Alpes;01;3;19;160;Ferney-Voltaire;9 637;163;9 800;
84;Auvergne-Rhône-Alpes;01;1;04;162;Flaxieu;69;0;69;
84;Auvergne-Rhône-Alpes;01;2;02;163;Foissiat;2 062;38;2 100;
84;Auvergne-Rhône-Alpes;01;2;22;165;Francheleins;1 574;32;1 606;
84;Auvergne-Rhône-Alpes;01;2;21;166;Frans;2 334;54;2 388;
84;Auvergne-Rhône-Alpes;01;2;08;167;Garnerans;654;26;680;
84;Auvergne-Rhône-Alpes;01;2;08;169;Genouilleux;600;19;619;
84;Auvergne-Rhône-Alpes;01;4;14;171;Géovreisset;891;46;937;
84;Auvergne-Rhône-Alpes;01;3;09;173;Gex;12 652;242;12 894;
84;Auvergne-Rhône-Alpes;01;4;03;174;Giron;180;4;184;
84;Auvergne-Rhône-Alpes;01;2;17;175;Gorrevod;861;21;882;
84;Auvergne-Rhône-Alpes;01;2;18;177;Grand-Corent;174;7;181;
84;Auvergne-Rhône-Alpes;01;2;23;179;Grièges;1 881;61;1 942;
84;Auvergne-Rhône-Alpes;01;3;09;180;Grilly;808;19;827;
84;Auvergne-Rhône-Alpes;01;4;14;181;Groissiat;1 223;33;1 256;
84;Auvergne-Rhône-Alpes;01;1;89;338;Groslée-Saint-Benoit;1 193;34;1 227;
84;Auvergne-Rhône-Alpes;01;2;08;183;Guéreins;1 435;26;1 461;
84;Auvergne-Rhône-Alpes;01;1;10;187;Haut Valromey;695;32;727;
84;Auvergne-Rhône-Alpes;01;2;18;184;Hautecourt-Romanèche;784;22;806;
84;Auvergne-Rhône-Alpes;01;1;10;185;Hauteville-Lompnes;3 650;105;3 755;
84;Auvergne-Rhône-Alpes;01;1;10;186;Hostiaz;87;1;88;
84;Auvergne-Rhône-Alpes;01;2;08;188;Illiat;615;17;632;
84;Auvergne-Rhône-Alpes;01;4;03;189;Injoux-Génissiat;1 147;34;1 181;
84;Auvergne-Rhône-Alpes;01;1;11;190;Innimond;98;3;101;
84;Auvergne-Rhône-Alpes;01;4;10;191;Izenave;162;4;166;
84;Auvergne-Rhône-Alpes;01;4;16;192;Izernore;2 257;61;2 318;
84;Auvergne-Rhône-Alpes;01;1;04;193;Izieu;242;2;244;
84;Auvergne-Rhône-Alpes;01;2;21;194;Jassans-Riottier;6 391;125;6 516;
84;Auvergne-Rhône-Alpes;01;2;18;195;Jasseron;1 762;52;1 814;
84;Auvergne-Rhône-Alpes;01;2;02;196;Jayat;1 166;13;1 179;
84;Auvergne-Rhône-Alpes;01;2;07;197;Journans;355;14;369;
84;Auvergne-Rhône-Alpes;01;1;12;198;Joyeux;274;3;277;
84;Auvergne-Rhône-Alpes;01;4;16;199;Jujurieux;2 181;47;2 228;
84;Auvergne-Rhône-Alpes;01;4;16;200;Labalme;212;2;214;
84;Auvergne-Rhône-Alpes;01;1;11;202;Lagnieu;7 090;144;7 234;
84;Auvergne-Rhône-Alpes;01;2;23;203;Laiz;1 213;39;1 252;
84;Auvergne-Rhône-Alpes;01;4;03;205;Lancrans;1 050;30;1 080;
84;Auvergne-Rhône-Alpes;01;4;10;206;Lantenay;272;6;278;
84;Auvergne-Rhône-Alpes;01;2;22;207;Lapeyrouse;324;12;336;
84;Auvergne-Rhône-Alpes;01;1;04;208;Lavours;127;6;133;
84;Auvergne-Rhône-Alpes;01;3;20;209;Léaz;719;15;734;
84;Auvergne-Rhône-Alpes;01;3;20;210;Lélex;225;4;229;
84;Auvergne-Rhône-Alpes;01;2;07;211;Lent;1 416;36;1 452;
84;Auvergne-Rhône-Alpes;01;2;17;212;Lescheroux;727;14;741;
84;Auvergne-Rhône-Alpes;01;1;11;213;Leyment;1 285;28;1 313;
84;Auvergne-Rhône-Alpes;01;4;16;214;Leyssard;153;4;157;
84;Auvergne-Rhône-Alpes;01;4;03;215;Lhôpital;49;1;50;
84;Auvergne-Rhône-Alpes;01;1;11;216;Lhuis;890;20;910;
84;Auvergne-Rhône-Alpes;01;1;10;218;Lochieu;90;5;95;
84;Auvergne-Rhône-Alpes;01;1;11;219;Lompnas;169;2;171;
84;Auvergne-Rhône-Alpes;01;1;10;221;Lompnieu;113;1;114;
84;Auvergne-Rhône-Alpes;01;1;11;224;Loyettes;3 145;30;3 175;
84;Auvergne-Rhône-Alpes;01;2;22;225;Lurcy;379;10;389;
84;Auvergne-Rhône-Alpes;01;1;04;227;Magnieu;484;11;495;
84;Auvergne-Rhône-Alpes;01;4;14;228;Maillat;623;22;645;
84;Auvergne-Rhône-Alpes;01;2;02;229;Malafretaz;1 188;25;1 213;
84;Auvergne-Rhône-Alpes;01;2;17;230;Mantenay-Montlin;310;7;317;
84;Auvergne-Rhône-Alpes;01;2;17;231;Manziat;1 977;58;2 035;
84;Auvergne-Rhône-Alpes;01;2;18;232;Marboz;2 226;46;2 272;
84;Auvergne-Rhône-Alpes;01;1;11;233;Marchamp;131;2;133;
84;Auvergne-Rhône-Alpes;01;1;04;234;Marignieu;173;7;180;
84;Auvergne-Rhône-Alpes;01;2;08;235;Marlieux;1 068;95;1 163;
84;Auvergne-Rhône-Alpes;01;2;02;236;Marsonnas;981;16;997;
84;Auvergne-Rhône-Alpes;01;4;14;237;Martignat;1 627;64;1 691;
84;Auvergne-Rhône-Alpes;01;2;21;238;Massieux;2 519;59;2 578;
84;Auvergne-Rhône-Alpes;01;1;04;239;Massignieu-de-Rives;613;14;627;
84;Auvergne-Rhône-Alpes;01;4;16;240;Matafelon-Granges;645;17;662;
84;Auvergne-Rhône-Alpes;01;2;18;241;Meillonnas;1 332;22;1 354;
84;Auvergne-Rhône-Alpes;01;4;16;242;Mérignat;126;4;130;
84;Auvergne-Rhône-Alpes;01;2;22;243;Messimy-sur-Saône;1 210;31;1 241;
84;Auvergne-Rhône-Alpes;01;1;12;244;Meximieux;7 669;131;7 800;
84;Auvergne-Rhône-Alpes;01;2;23;246;Mézériat;2 134;38;2 172;
84;Auvergne-Rhône-Alpes;01;3;20;247;Mijoux;340;12;352;
84;Auvergne-Rhône-Alpes;01;2;22;248;Mionnay;2 132;46;2 178;
84;Auvergne-Rhône-Alpes;01;2;13;249;Miribel;9 742;109;9 851;
84;Auvergne-Rhône-Alpes;01;2;21;250;Misérieux;1 938;257;2 195;
84;Auvergne-Rhône-Alpes;01;2;08;252;Mogneneins;774;28;802;
84;Auvergne-Rhône-Alpes;01;2;07;254;Montagnat;1 960;49;2 009;
84;Auvergne-Rhône-Alpes;01;1;11;255;Montagnieu;609;14;623;
84;Auvergne-Rhône-Alpes;01;4;03;257;Montanges;341;9;350;
84;Auvergne-Rhône-Alpes;01;2;08;258;Montceaux;1 182;36;1 218;
84;Auvergne-Rhône-Alpes;01;2;02;259;Montcet;675;14;689;
84;Auvergne-Rhône-Alpes;01;1;12;260;Le Montellier;293;8;301;
84;Auvergne-Rhône-Alpes;01;2;22;261;Monthieux;648;26;674;
84;Auvergne-Rhône-Alpes;01;2;12;262;Montluel;7 005;101;7 106;
84;Auvergne-Rhône-Alpes;01;2;08;263;Montmerle-sur-Saône;3 811;66;3 877;
84;Auvergne-Rhône-Alpes;01;2;02;264;Montracol;1 052;21;1 073;
84;Auvergne-Rhône-Alpes;01;4;14;265;Montréal-la-Cluse;3 409;71;3 480;
84;Auvergne-Rhône-Alpes;01;2;02;266;Montrevel-en-Bresse;2 463;43;2 506;
84;Auvergne-Rhône-Alpes;01;1;04;268;Murs-et-Gélignieux;255;5;260;
84;Auvergne-Rhône-Alpes;01;4;14;269;Nantua;3 482;147;3 629;
84;Auvergne-Rhône-Alpes;01;2;08;272;Neuville-les-Dames;1 505;23;1 528;
84;Auvergne-Rhône-Alpes;01;4;16;273;Neuville-sur-Ain;1 741;32;1 773;
84;Auvergne-Rhône-Alpes;01;4;14;274;Les Neyrolles;636;12;648;
84;Auvergne-Rhône-Alpes;01;2;13;275;Neyron;2 507;49;2 556;
84;Auvergne-Rhône-Alpes;01;2;13;276;Niévroz;1 577;28;1 605;
84;Auvergne-Rhône-Alpes;01;2;18;095;Nivigne et Suran;805;11;816;
84;Auvergne-Rhône-Alpes;01;1;01;277;Nivollet-Montgriffon;118;2;120;
84;Auvergne-Rhône-Alpes;01;4;16;267;Nurieux-Volognat;1 030;24;1 054;
84;Auvergne-Rhône-Alpes;01;1;01;279;Oncieu;94;5;99;
84;Auvergne-Rhône-Alpes;01;1;11;280;Ordonnaz;146;1;147;
84;Auvergne-Rhône-Alpes;01;3;19;281;Ornex;4 400;164;4 564;
84;Auvergne-Rhône-Alpes;01;4;10;282;Outriaz;261;8;269;
84;Auvergne-Rhône-Alpes;01;4;15;283;Oyonnax;22 559;591;23 150;
84;Auvergne-Rhône-Alpes;01;2;17;284;Ozan;674;12;686;
84;Auvergne-Rhône-Alpes;01;2;21;285;Parcieux;1 188;32;1 220;
84;Auvergne-Rhône-Alpes;01;1;04;286;Parves et Nattages;937;23;960;
84;Auvergne-Rhône-Alpes;01;3;20;288;Péron;2 584;51;2 635;
84;Auvergne-Rhône-Alpes;01;2;06;289;Péronnas;6 287;293;6 580;
84;Auvergne-Rhône-Alpes;01;1;12;290;Pérouges;1 205;28;1 233;
84;Auvergne-Rhône-Alpes;01;2;23;291;Perrex;824;7;831;
84;Auvergne-Rhône-Alpes;01;4;16;293;Peyriat;164;4;168;
84;Auvergne-Rhône-Alpes;01;1;04;294;Peyrieu;862;15;877;
84;Auvergne-Rhône-Alpes;01;2;08;295;Peyzieux-sur-Saône;663;13;676;
84;Auvergne-Rhône-Alpes;01;2;18;296;Pirajoux;389;7;396;
84;Auvergne-Rhône-Alpes;01;2;12;297;Pizay;796;12;808;
84;Auvergne-Rhône-Alpes;01;4;03;298;Plagne;123;3;126;
84;Auvergne-Rhône-Alpes;01;2;07;299;Le Plantay;553;9;562;
84;Auvergne-Rhône-Alpes;01;4;14;204;Le Poizat-Lalleyriat;712;16;728;
84;Auvergne-Rhône-Alpes;01;2;02;301;Polliat;2 504;62;2 566;
84;Auvergne-Rhône-Alpes;01;1;04;302;Pollieu;161;6;167;
84;Auvergne-Rhône-Alpes;01;4;16;303;Poncin;1 696;33;1 729;
84;Auvergne-Rhône-Alpes;01;4;16;304;Pont-d'Ain;2 914;46;2 960;
84;Auvergne-Rhône-Alpes;01;2;17;305;Pont-de-Vaux;2 290;51;2 341;
84;Auvergne-Rhône-Alpes;01;2;23;306;Pont-de-Veyle;1 618;64;1 682;
84;Auvergne-Rhône-Alpes;01;4;14;307;Port;855;29;884;
84;Auvergne-Rhône-Alpes;01;3;20;308;Pougny;815;13;828;
84;Auvergne-Rhône-Alpes;01;2;18;309;Pouillat;90;0;90;
84;Auvergne-Rhône-Alpes;01;1;04;310;Prémeyzel;247;4;251;
84;Auvergne-Rhône-Alpes;01;1;10;311;Prémillieu;46;0;46;
84;Auvergne-Rhône-Alpes;01;3;19;313;Prévessin-Moëns;7 991;192;8 183;
84;Auvergne-Rhône-Alpes;01;4;16;314;Priay;1 707;39;1 746;
84;Auvergne-Rhône-Alpes;01;2;18;317;Ramasse;321;4;325;
84;Auvergne-Rhône-Alpes;01;2;22;318;Rancé;727;17;744;
84;Auvergne-Rhône-Alpes;01;2;22;319;Relevant;463;5;468;
84;Auvergne-Rhône-Alpes;01;2;17;320;Replonges;3 702;81;3 783;
84;Auvergne-Rhône-Alpes;01;2;07;321;Revonnas;921;30;951;
84;Auvergne-Rhône-Alpes;01;2;21;322;Reyrieux;4 670;130;4 800;
84;Auvergne-Rhône-Alpes;01;2;17;323;Reyssouze;975;18;993;
84;Auvergne-Rhône-Alpes;01;1;12;325;Rignieux-le-Franc;976;18;994;
84;Auvergne-Rhône-Alpes;01;2;08;328;Romans;594;4;598;
84;Auvergne-Rhône-Alpes;01;1;04;329;Rossillon;153;6;159;
84;Auvergne-Rhône-Alpes;01;1;10;330;Ruffieu;184;4;188;
84;Auvergne-Rhône-Alpes;01;4;16;331;Saint-Alban;179;4;183;
84;Auvergne-Rhône-Alpes;01;2;23;334;Saint-André-d'Huiriat;602;9;611;
84;Auvergne-Rhône-Alpes;01;2;17;332;Saint-André-de-Bâgé;742;22;764;
84;Auvergne-Rhône-Alpes;01;2;22;333;Saint-André-de-Corcy;3 241;52;3 293;
84;Auvergne-Rhône-Alpes;01;2;08;335;Saint-André-le-Bouchoux;384;1;385;
84;Auvergne-Rhône-Alpes;01;2;07;336;Saint-André-sur-Vieux-Jonc;1 126;28;1 154;
84;Auvergne-Rhône-Alpes;01;2;17;337;Saint-Bénigne;1 254;34;1 288;
84;Auvergne-Rhône-Alpes;01;2;21;339;Saint-Bernard;1 434;42;1 476;
84;Auvergne-Rhône-Alpes;01;1;04;341;Saint-Champ;156;1;157;
84;Auvergne-Rhône-Alpes;01;2;23;343;Saint-Cyr-sur-Menthon;1 761;40;1 801;
84;Auvergne-Rhône-Alpes;01;1;01;345;Saint-Denis-en-Bugey;2 293;26;2 319;
84;Auvergne-Rhône-Alpes;01;2;06;344;Saint-Denis-lès-Bourg;5 667;203;5 870;
84;Auvergne-Rhône-Alpes;01;2;02;346;Saint-Didier-d'Aussiat;879;13;892;
84;Auvergne-Rhône-Alpes;01;2;21;347;Saint-Didier-de-Formans;1 944;68;2 012;
84;Auvergne-Rhône-Alpes;01;2;08;348;Saint-Didier-sur-Chalaronne;2 832;66;2 898;
84;Auvergne-Rhône-Alpes;01;1;12;349;Saint-Éloi;453;5;458;
84;Auvergne-Rhône-Alpes;01;2;18;350;Saint-Étienne-du-Bois;2 490;41;2 531;
84;Auvergne-Rhône-Alpes;01;2;08;351;Saint-Étienne-sur-Chalaronne;1 546;30;1 576;
84;Auvergne-Rhône-Alpes;01;2;17;352;Saint-Étienne-sur-Reyssouze;568;7;575;
84;Auvergne-Rhône-Alpes;01;3;19;354;Saint-Genis-Pouilly;11 892;237;12 129;
84;Auvergne-Rhône-Alpes;01;2;23;355;Saint-Genis-sur-Menthon;472;9;481;
84;Auvergne-Rhône-Alpes;01;2;08;356;Saint-Georges-sur-Renon;219;5;224;
84;Auvergne-Rhône-Alpes;01;4;03;357;Saint-Germain-de-Joux;507;4;511;
84;Auvergne-Rhône-Alpes;01;1;04;358;Saint-Germain-les-Paroisses;434;4;438;
84;Auvergne-Rhône-Alpes;01;2;08;359;Saint-Germain-sur-Renon;235;4;239;
84;Auvergne-Rhône-Alpes;01;3;20;360;Saint-Jean-de-Gonville;1 720;43;1 763;
84;Auvergne-Rhône-Alpes;01;1;11;361;Saint-Jean-de-Niost;1 427;35;1 462;
84;Auvergne-Rhône-Alpes;01;2;22;362;Saint-Jean-de-Thurigneux;773;13;786;
84;Auvergne-Rhône-Alpes;01;4;16;363;Saint-Jean-le-Vieux;1 699;101;1 800;
84;Auvergne-Rhône-Alpes;01;2;17;364;Saint-Jean-sur-Reyssouze;737;9;746;
84;Auvergne-Rhône-Alpes;01;2;23;365;Saint-Jean-sur-Veyle;1 122;20;1 142;
84;Auvergne-Rhône-Alpes;01;2;17;367;Saint-Julien-sur-Reyssouze;698;4;702;
84;Auvergne-Rhône-Alpes;01;2;23;368;Saint-Julien-sur-Veyle;798;15;813;
84;Auvergne-Rhône-Alpes;01;2;07;369;Saint-Just;917;24;941;
84;Auvergne-Rhône-Alpes;01;2;23;370;Saint-Laurent-sur-Saône;1 754;26;1 780;
