NomVilles;NumDep;NbrHbitants
Hyères;83;56799
Saint-Raphaël;83;35826
La Seyne-sur-Mer;83;65386
Six-Fours-les-Plages;83;33904
Toulon;83;171643
Avignon;84;94200
Carpentras;84;29498
Cavaillon;84;26985
Orange;84;29856
La Roche-sur-Yon;85;56991
Châtellerault;86;32887
Poitiers;86;90590
Limoges;87;135140
Épinal;88;33454
Auxerre;89;36804
Sens;89;26688
Belfort;90;49926
Athis-Mons;91;34065
Brétigny-sur-Orge;91;26702
Brunoy;91;26520
Corbeil-Essonnes;91;51682
Draveil;91;29558
Évry;91;55425
Grigny;91;29118
Massy;91;50549
Palaiseau;91;34954
Ris-Orangis;91;29040
Sainte-Geneviève-des-Bois;91;36219
Savigny-sur-Orge;91;36677
Les Ulis;91;25031
Vigneux-sur-Seine;91;31488
Viry-Châtillon;91;30962
Yerres;91;29132
Antony;92;62989
Asnières-sur-Seine;92;86678
Bagneux;92;39977
Bois-Colombes;92;28607
Boulogne-Billancourt;92;120943
Châtenay-Malabry;92;33413
Châtillon;92;37132
Clamart;92;53099
Clichy;92;60746
Colombes;92;86050
Courbevoie;92;82351
La Garenne-Colombes;92;29503
Gennevilliers;92;46939
Issy-les-Moulineaux;92;69231
Levallois-Perret;92;64028
Malakoff;92;30286
Meudon;92;46014
Montrouge;92;49372
Nanterre;92;96321
Neuilly-sur-Seine;92;61501
Le Plessis-Robinson;92;29192
Puteaux;92;44941
Rueil-Malmaison;92;79783
Saint-Cloud;92;30797
Suresnes;92;49145
Vanves;92;28148
Aubervilliers;93;86533
Aulnay-sous-Bois;93;85214
Bagnolet;93;36047
Le Blanc-Mesnil;93;56346
Bobigny;93;52633
Bondy;93;53416
Clichy-sous-Bois;93;29978
La Courneuve;93;42712
Drancy;93;70883
Épinay-sur-Seine;93;55754
Gagny;93;39391
Livry-Gargan;93;44721
Montfermeil;93;26262
Montreuil;93;109235
Neuilly-sur-Marne;93;34859
Noisy-le-Grand;93;67086
Noisy-le-Sec;93;43693
Pantin;93;55585
Pierrefitte-sur-Seine;93;29728
Romainville;93;26640
Rosny-sous-Bois;93;45663
Saint-Denis;93;112309
Saint-Ouen;93;49949
Sevran;93;50888
Stains;93;39776
Tremblay-en-France;93;35866
Villemomble;93;30227
Villepinte;93;36809
Alfortville;94;44136
Cachan;94;30524
Champigny-sur-Marne;94;77883
Charenton-le-Pont;94;30793
Choisy-le-Roi;94;44781
Créteil;94;90052
Fontenay-sous-Bois;94;53968
Fresnes;94;27556
L' Haÿ-les-Roses;94;31416
Ivry-sur-Seine;94;61099
Le Kremlin-Bicêtre;94;25422
Limeil-Brévannes;94;26901
Maisons-Alfort;94;55816
Nogent-sur-Marne;94;32195
Le Perreux-sur-Marne;94;34017
Saint-Maur-des-Fossés;94;75833
Sucy-en-Brie;94;26575
Thiais;94;29295
Villejuif;94;55805
Villeneuve-Saint-Georges;94;33135
Villiers-sur-Marne;94;29407
Vincennes;94;50300
Vitry-sur-Seine;94;93317
Argenteuil;95;112064
Bezons;95;29216
Cergy;95;64451
Eaubonne;95;25514
Ermont;95;29400
Franconville;95;36349
Garges-lès-Gonesse;95;42821
Gonesse;95;26556
Goussainville;95;31167
Herblay;95;29614
Pontoise;95;31880
Sannois;95;27118
Sarcelles;95;58332
Taverny;95;26541
Villiers-le-Bel;95;27519
Les Abymes;971;54818
Baie-Mahault;971;31338
Le Gosier;971;27023
Fort-de-France;972;82030
Le Lamentin;972;40920
Cayenne;973;60947
Kourou;973;26726
Matoury;973;32768
Remire-Montjoly;973;26170
Saint-Laurent-du-Maroni;973;44130
Le Port;974;35141
La Possession;974;33337
Saint-André;974;56088
Saint-Benoît;974;38466
Saint-Denis;974;149337
Saint-Joseph;974;38167
Saint-Leu;974;34160
Saint-Louis;974;53832
Saint-Paul;974;106920
Saint-Pierre;974;85059
Sainte-Marie;974;33587
Le Tampon;974;78366
